 ,L1 Specific Metadata Field,Level 2 Metadata,Input Type,Allow Other,Dataset Level ,Units,Comment or Dependency,Controlled Vocabulary,Description (help text for applications)
Measurement,,,,,,,,,
,Acquisition Method,,controlled,TRUE,TRUE,,This is the description of the type of sampling acquisition approach,"contact, proximal, pixel, other",Type of sampling acquisition approach
,,Sample Platform,text,,TRUE,,what was the sample collected from?,"e.g., boom, tower, UAV, airplane, satellite, etc.",What was the sample collected from?
,,Measurement Venue,controlled,TRUE,TRUE,,,"greenhouse, outdoor, laboratory, other",
,Target Type,,controlled,TRUE,TRUE,,* NEED TO FILL OUT SPECIES IF VEGETATED MATERIAL* this triggers if/then for species below,"leaf, flower, canopy, branch, bark, NPV, animal, soil, rock, mineral, water, reference, other",
,Measurement Quantity,,controlled,TRUE,TRUE,,,"reflectance, transmittance, absorptance, radiance, DN, index, transflectance, other",
,,Index Name,text,,TRUE,,"name the index, e.g. NDVI, required if MQ = ""index""",,"Measurement quantity index name.  Please provide if Measurement Quantity = ""Index"""
,,Measurement Units,text,,TRUE,,Units of measurement for spectral measurement,,Units of measurement for spectral measurement
,,Wavelength Units,controlled,,TRUE,,"e.g., microns, nm DONT CARE ABOUT FOR SEARCH","nm, microns, unitless, other","e.g., microns, nm"
,Target Status,,controlled,TRUE,TRUE,,,"live, green, fresh, dried, ground, liquid, standard, panel, other",
,Light Source,,controlled,TRUE,TRUE,,,"sun, lamp, laser, other",
,,Light Source Specifications,text,,TRUE,,,,
,Foreoptic Type,,controlled,TRUE,TRUE,,,"none, bare fiber, leaf clip, gershon tube, foreoptic, integrating sphere, cosine diffuser, other",
,,Foreoptic Field of View,text,,TRUE,integer degrees,"e.g. 4, 8, 12",,
,,Foreoptic Specifications,text,,TRUE,,"e.g., ""Labsphere 8"" integrating sphere""",NA,
,,,,,,,,,
Processing Information,,,,,,,"There are no level 1 METADATA here, but added this because it is important",,
,,Processing Averaged,controlled,,TRUE,,Is the measurement an average of other measurements?,"yes, no",Is the measurement an average of other measurements?
,,Processing Interpolated,controlled,,TRUE,,Is the measurement interpolated?,"yes, no",Is the measurement interpolated?
,,Processing Resampled,controlled,,TRUE,,Is the measurement resampled?,"yes, no",Is the measurement resampled?
,,Processing Information Details,text,,,,More information about processing can be provided here,,More information about processing can be provided here
,,,,,,,,,
Instrument,,,,,,,,,
,Instrument Manufacturer,,text,,TRUE,,,,
,Instrument Model,,text,,TRUE,,,,
,,Instrument Serial Number,text,,TRUE,,,NA,
,,,,,,,,,
Theme,,,,,,,,,
,Theme,,controlled,TRUE,TRUE,,,"forest, agriculture, ecology, phenology, biochemistry, physiology, water quality, land cover, urban, global change, other",
,,Keywords,text,,TRUE,,user supplied text that may benefit search,"may include terms in cells below, but not controlled",
,,Objective,text,,TRUE,,these may need to be rethought,"e.g., forest, agriculture, ecology, phenology, biochemistry, physiology",
,,Ecosystem Type,text,,TRUE,,these may need to be rethought,"e.g., forest, crops, grassland, wetland, aquatic, coastal",
,,,,,,,,,
Location,,,,,,,,,
,Latitude,,latlng,,,decimal degree,,,
,Longitude,,latlng,,,decimal degree,,,
,,Location Name,text,,,,SHOULD THIS BE REQUIRED?,NA,
,,,,,,,,,
Date,,,,,,,,,
,Sample Collection Date,,date,,,ISO Date ,date sample was collected,,
,,Measurement Date,date,,,ISO Date ,e.g. if sample was not measured at same time of collection,,
,,Phenological Status,text,,,,"this is useful information, but likely cannot be required",,
,,,,,,,,,
Species,,,,,,,"ONLY NEEDS TO BE FILLED IF BIOLOGICAL, see notes",,
,Common Name,,text,,,,"note that ""common name"" is vague",NA,
,Latin Genus,,text,,,,,NA,
,Latin Species,,text,,,,,NA,
,USDA Symbol,,text,,,,"called ""symbol"" on plants.usda.gov",NA,
,Vegetation Type,,text,,,,"e.g., chapparal, northern hardwood, citrus plantation, prairie",NA,
,,,,,,,,,
Citation,,,,,TRUE,,All of these fields there should be one and only one per dataset,,
,,Citation,text,,TRUE,,journal citation,,
,,Citation DOI,text,,TRUE,,URI,,
,,Website,text,,TRUE,,website URL for author/contact,,
,,Author,text,,TRUE,,,,
,,Author Email,text,,TRUE,,,,
,,Maintainer,text,,TRUE,,,,
,,Maintainer Email,text,,TRUE,,,,
,,Funding Source,text,,TRUE,,,,
,,Funding Source Grant Number,text,,TRUE,,,,
